"name","super_class","sys_package"
"sys_rte_eb_regex_replace_operation","sys_rte_eb_operation","82596d2ca920211076daa554cb57d9c1"
"cmdb_ci_ot_ied","cmdb_ci_ot_control","ae99d84b2320330006c0110d96bf65b3"
"cmdb_hardware_product_model","cmdb_model","f969256ca920211076daa554cb57d903"
"cmdb_ot_protocol","","ae99d84b2320330006c0110d96bf65b3"
"sc_cat_item_user_mtom","sys_metadata","cc6da5e8a9a0211076daa554cb57d90e"
"sn_cd_content_community","sn_cd_content_base","b26210490b7203008cd6e7ae37673a6a"
"sn_vul_nvd_entry","sn_vul_entry","054cdcc2ff200200158bffffffffff94"
"v_st_kb_most_viewed","","b3a70c8a530323004c36ddeeff7b124c"
"v_st_popular_item","","2263a68187032300e0ef0cf888cb0b3f"
"cmn_other_schedule","","3c7ce5a4a9a0211076daa554cb57d99e"
"cmdb_multisource_query_result_disco_source","","9c79296ca920211076daa554cb57d956"
"test_execution","","02b765e0a920211076daa554cb57d9cc"
"ts_c_8_3","",""
"sn_si_enrichment_malware","sn_sec_cmn_enrichment_data_base","82878663ff123100158bffffffffff67"
"sys_ux_sitemap_definition","","26329d35f52d4510f877c32d14052947"
"sc_service_fulfillment_stage_data","","31d2b128a924211076daa554cb57d929"
"ts_c_52_4","",""
"sn_invst_pln_invst_funding_state","","f220fdbd5fad201048b8ea552f466620"
"rm_doc","rm_feature","47d1721587332550efbf1f473cbb35c0"
"sn_vdr_risk_asmt_risk_area_criteria","sn_vdr_risk_asmt_type_criteria","4c821a2d9f42220030581471367fcf2c"
"sys_cs_survey","sys_metadata","05d57524a964211076daa554cb57d9a6"
"sys_cs_configuration","sys_metadata","05d57524a964211076daa554cb57d9a6"
"sn_cmp_rsrc_tag_history","","80d50579eb203200979aa5115206fedd"
"pa_xmr_processes","","4af23d28a924211076daa554cb57d9bc"
"sn_hr_integrations_background_check_package","","aaa655c19f0322003be01050a57fcf65"
"sn_ti_sighting_details","","8b068223eb120200cb3aa9bcf106fe82"
"sys_notif_filter_config_m2m_sys_notification","sys_metadata","0ef7e924a920211076daa554cb57d94d"
"cmdb_ci_lb_vlan","cmdb_ci","9c79296ca920211076daa554cb57d956"
"sys_ux_header_config","sys_metadata","0b08a164a920211076daa554cb57d94c"
"m2m_sys_nlu_model_sys_entity","sys_metadata","b609eda8a920211076daa554cb57d946"
"cmdb_ci_appl_license_server","cmdb_ci_appl","9c79296ca920211076daa554cb57d956"
"mid_limited_resource_usage","sys_metadata","c1db2dadc3c73d10b2ce78f9d0013145"
"sn_ent_retail_model","sn_ent_model","7e67d4ff091b4110f87739da6a8d8c7d"
"license_action","","321f2164a9e0211076daa554cb57d941"
"sn_esg_m2m_material_topic_goal","","1b6502f1b38070102fd4ea5b86a8dc23"
"sys_sg_screen","sys_metadata","03292de8a920211076daa554cb57d98d"
"pa_job_indicators","sys_metadata","6b203d28a9e0211076daa554cb57d9a2"
"ts_c_31_5","",""
"sys_cs_click_metrics0000","","05d57524a964211076daa554cb57d9a6"
"cmdb_ci_vcenter_dvs","cmdb_ci_network","9c79296ca920211076daa554cb57d956"
"ip_address_list","ip_address_collection","731ee5eca9a0211076daa554cb57d984"
"sn_data_registry_relationship","sys_metadata","ca142b64ff50201017996dbf793bf1eb"
"cmdb_ci_cloud_public_ipaddress","cmdb_ci_vm_object","9c79296ca920211076daa554cb57d956"
"ts_c_35_1","",""
"cxs_rp_fltr_config","cxs_fltr_config","265e6920a9e0211076daa554cb57d9ca"
"cxs_table_email_config","sys_metadata","265e6920a9e0211076daa554cb57d9ca"
"ts_c_36_6","",""
"sn_bom_service_definition_category","sys_metadata","52139130737200103fcae6e24ff6a76f"
"sn_hamp_hw_refresh_line_task","asset_task","6cd246601b9e0010cf95dd33dd4bcb8a"
"scrum_pp_team_member","","8bd1721587332550efbf1f473cbb35bf"
"sn_appss_request_type","sys_metadata","405c05fc1b4a4110593876a61a4bcb6b"
"cmdb_ire_output_aggregate_stats","","9c79296ca920211076daa554cb57d956"
"v_ws_editor","v_ws_creator","aa8ceda4a9a0211076daa554cb57d96f"
"ecc_queue_config","sys_metadata","03972da0a920211076daa554cb57d992"
"sn_cd_audience_delegated_user","","b26210490b7203008cd6e7ae37673a6a"
"ts_c_5_8","",""
"sn_office_control","sys_metadata","d0a1055cdbda5b40d9dd595fdf961943"
"cds_client_registry","","b1b8362687566550efbf1f473cbb3585"
"ts_c_9_2","",""
"sn_query_rule","sys_metadata","991f69f1b3221010700b4d43c6a8dc6e"
"sn_skills_int_skill_category_stg","","a02907e177211110fe0050f79a106105"
"ts_v4_22_6","","global"
"x_snc_dh_pers_int_persona_interaction","sys_metadata","5b870907dba7a010b050bd513996196a"
"ts_v4_14_5","","global"
"cmdb_ci_modem_network","cmdb_ci_netgear","9c79296ca920211076daa554cb57d956"
"sp_widget","sys_metadata","b6de29e0a9e0211076daa554cb57d9c0"
"ts_c_72_4","",""
"awa_agent_presence_query_history","","64e18310879e2910efbf1f473cbb351c"
"ts_c_54_0","",""
"ts_c_29_3","",""
"notify_group","","76f4e9e697966550da6cdc04a253af1b"
"sn_hr_integrations_todo_inbound","","aaa655c19f0322003be01050a57fcf65"
"sys_app_scan_variable","sys_metadata","a7017d6ca9e0211076daa554cb57d913"
"sys_table_partition","",""
"ais_ingest_table_stats","","dcf8a5a8a920211076daa554cb57d938"
"v_private_cache","","abfca568a9a0211076daa554cb57d993"
"sn_ex_sp_pro_my_apps","","236addd4d75048c1a5f250d73c064976"
"sn_hr_core_grades","","global"
"sys_object_source","","882ee5eca9a0211076daa554cb57d984"
"license_custom_role","license_role","321f2164a9e0211076daa554cb57d941"
"sn_bcm_unique_user_usage","","3ff1278f132a40103423f8fed144b091"
"ts_c_65_5","",""
"ts_c_33_1","",""
"cmdb_ci_mpio_pool_group","cmdb_ci_storage_pool","9c79296ca920211076daa554cb57d956"
"pa_snapshots_duplicates","","7f60f1a8a9e0211076daa554cb57d95b"
